angle,correction,derived,rotát-ion,x_pos,y_pos,p,i,d,bat,time
-0.090567496, -2.4270362478070764, -4.0345597254776595e-05, -0.002311632443379033, 50.00201091248812, -0.0020172798610969987, -1.6768614075757982, -0.04412793177831048, -0.7060469084529677, 7.72725, 0.07754039764404297
-0.036663893999999995, -1.0443632082132484, 0.00044301225642206507, 0.02538273090501475, 50.00404047676352, 0.022150610647465496, -1.1788858731952803, -0.07515124423081786, 0.20967390921284973, 7.7013750000000005, 0.09331941604614258
-0.052993549, -5.415486800088839, 0.00277945094558201, 0.15925039845811417, 50.000120327194, 0.1389720104765963, -4.032635001704169, -0.18127321795987494, -1.2015785804247954, 7.71, 0.10952067375183105
-0.056307711, -7.712612376594167, 0.004874793153631722, 0.27930286130178933, 49.967997690689856, 0.2437367616663258, -6.376600873733997, -0.34907850411076957, -0.9869329987494011, 7.720125, 0.1255192756652832
-0.056307711, -11.843969956294908, 0.008016826930907248, 0.45932050829448917, 49.976208472043815, 0.40082846622694307, -9.796936166595295, -0.6068926137580142, -1.4401411759415992, 7.717875, 0.14151453971862793
-0.056307711, -15.738701036043851, 0.011239360454928111, 0.6439408045142455, 50.000535993873825, 0.5619325313028647, -13.304721794770664, -0.9570168715151369, -1.4769623697580503, 7.714125, 0.1573324203491211
-0.06563203299999999, -20.707989086606247, 0.014946258933449247, 0.8562937975165482, 50.00074825071864, 0.747229489290165, -17.516590779814415, -1.417979786773411, -1.7734185200184216, 7.7235000000000005, 0.17350101470947266
-0.08613883700000001, -26.560315101213394, 0.019136807880817792, 1.096324506948086, 50.02120412765152, 0.9566652363405204, -22.466803535013636, -2.009211458747454, -2.084300107452303, 7.71975, 0.18932843208312988
-0.10541934900000001, -33.849995435261, 0.024376895549781126, 1.3964166774762994, 50.02974225858823, 1.2184827998886933, -28.53488450304969, -2.7601294719856035, -2.554981460225706, 7.704, 0.20531654357910156
-0.08882418600000001, -40.85900245518255, 0.030264292853305206, 1.733487130182085, 50.04228270728198, 1.512522120960454, -34.623915007459615, -3.671285130076646, -2.563802317646285, 7.686375, 0.22147774696350098
-0.10479500000000001, -49.933415771772275, 0.03680100603834741, 2.1075912244055384, 50.04287948616761, 1.8388055631161107, -42.035338263705235, -4.7774782422794155, -3.1205992657876287, 7.562250000000001, 0.2378978729248047
-0.10972531200000002, -60.63180440644334, 0.04479665325252557, 2.564944359251208, 50.04767138860113, 2.2375886583537166, -50.81872375377296, -6.114813077905019, -3.6982675747653566, 7.729125, 0.2534487247467041
-0.024158034000000026, -69.38957328106774, 0.05336738614354452, 3.0548280595699047, 50.047851423024056, 2.6645775428563083, -58.50073577782819, -7.654306124689971, -3.2345313785495726, 7.71675, 0.2699012756347656
