x,y
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
464, 200
463, 200
464, 200
463, 200
463, 200
463, 199
463, 200
463, 200
463, 200
464, 200
463, 200
464, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
463, 199
463, 200
463, 200
463, 200
463, 200
463, 200
463, 200
