angle,correction,derived,rotát-ion,x_pos,y_pos,p,i,d,bat,time
-0.054138219999999994, -0.7938886721977795, 0.0005370319175156588, 0.030769659379441663, 0.002071962534259655, 0.03222191040454124, -1.0188945525533, -0.02971775778280458, 0.254723638138325, 7.774875, 0.03827238082885742
-0.05684862699999999, -2.2725714643352757, 0.0027189784332922423, 0.15578560491595145, 0.0023132406496849667, 0.1631381029716709, -2.551610782991417, -0.10413973895338757, 0.3831790576095293, 7.7565, 0.05426430702209473
-0.084632698, -4.518523695484849, 0.005572353642126352, 0.31926904112124144, 0.0027117761289296087, 0.3343360278135177, -4.8468208694548975, -0.24550534764582205, 0.57380252161587, 7.764375, 0.0702366828918457
-0.12405395799999999, -7.364659760934053, 0.008862294700140303, 0.5077587902272201, 0.003307068271776261, 0.5317168018293944, -7.581752978726641, -0.46663980952534906, 0.6837330273179361, 7.76475, 0.08628225326538086
-0.17940425999999998, -10.010525725953144, 0.011146335480942973, 0.6386115337696401, -0.01226022619192525, 0.6687385878411406, -9.81618952523568, -0.7529453373447231, 0.5586091366272599, 7.773375000000001, 0.10222125053405762
-0.225504019, -13.049627080315108, 0.014438090025094526, 0.8271841480226164, -0.027428050290359732, 0.8661951233680564, -12.632258004271398, -1.1213861958026388, 0.7040171197589292, 7.773375000000001, 0.11817812919616699
-0.247751167, -16.12861281246977, 0.017796188990101394, 1.0195388988394951, -0.026385784545154136, 1.0676022956494409, -15.207480790073943, -1.5649377188464624, 0.6438056964506362, 7.738875, 0.13433432579040527
-0.28708690800000003, -19.705930056463018, 0.02175911999703497, 1.2465090428126278, -0.02096462009795568, 1.305238247793445, -18.403151409751533, -2.101696301630882, 0.7989176549193977, 7.743375, 0.15035676956176758
-0.3724792090000001, -24.142454140852227, 0.02605944246237049, 1.4927582227415466, -0.019069312290945845, 1.5630359132389093, -22.38284918089856, -2.7545294027404235, 0.9949244427867563, 7.76025, 0.1662297248840332
-0.4040418190000001, -28.67528644029095, 0.030897961710072332, 1.7697597577193462, -0.008721183094219709, 1.8529934020024426, -26.085618920632154, -3.5153599545921943, 0.9256924349333988, 7.758, 0.18230390548706055
-0.4040418190000001, -33.09725093678386, 0.036009832934307186, 2.0623203469929012, -0.014358007733060753, 2.1591905097127806, -29.596345991914816, -4.378586712689709, 0.8776817678206656, 7.7467500000000005, 0.19824576377868652
-0.4100510050000001, -37.809696848092464, 0.04145998816378779, 2.3741226460613967, -0.01174530387349735, 2.4854640369081755, -33.41008381273676, -5.353047490561199, 0.9534344552054863, 7.717125, 0.21435952186584473
-0.40195113400000004, -42.75761205831404, 0.04725009993427947, 2.705219306060819, -0.00499222159572108, 2.8318466078258573, -37.28604528072982, -6.440557144582486, 0.9689903669982662, 7.73925, 0.23030591011047363
-0.3573174330000001, -47.6014803228442, 0.0532473022894121, 3.0479672577036645, 0.0015766696686931767, 3.1903186229816365, -40.86341628844397, -7.632406786328768, 0.8943427519285367, 7.762125, 0.24631619453430176
-0.2863663070000001, -52.44666007278904, 0.05965611093562082, 3.4139972453368204, -0.00021324713813429931, 3.573014388880573, -44.404362628041845, -8.927534029646655, 0.8852365848994683, 7.7718750000000005, 0.2622954845428467
-0.15725578600000015, -57.09618391635555, 0.06654595391875424, 3.807189051400901, -0.014848659259286856, 3.9839457983764994, -47.57333804881082, -10.31508972273697, 0.7922438551922424, 7.759125, 0.2782251834869385
0.015842975999999852, -61.08266313346436, 0.07297069234985266, 4.1735155854678805, -0.026713482053886187, 4.366631426552379, -49.892071313614565, -11.770275136050728, 0.5796833162009372, 7.7482500000000005, 0.29430627822875977
0.19172364999999986, -65.15111600010168, 0.07987653035826058, 4.566891889106665, -0.08010518832336776, 4.777375604288583, -52.50201886927998, -13.30158401973806, 0.6524868889163526, 7.7505, 0.31034183502197266
0.4970444679999998, -68.4865119723533, 0.08740738637971082, 4.995378503860453, -0.07957554080513912, 5.224523344634998, -53.98000843032544, -14.876000932289218, 0.3694973902613654, 7.765125, 0.3262932300567627
0.8293380819999997, -71.37001280602391, 0.0950237774157018, 5.428162655920141, -0.06961058091664318, 5.675859094210076, -55.1858948870417, -16.485589533161267, 0.3014716141790643, 7.77525, 0.3423318862915039
1.2878478949999999, -73.26404293324943, 0.10307273240888162, 5.884851069152699, -0.04767134824873099, 6.151772102668649, -55.16403808983239, -18.094540644114712, -0.005464199302325667, 7.746, 0.3582324981689453
1.673282966, -75.31222263527445, 0.11071632176721631, 6.317846866395897, -0.06448812322619323, 6.6026346756742695, -55.734766804750755, -19.720138009253276, 0.14268217872959088, 7.7115, 0.3743598461151123
2.181101613, -76.5370038993367, 0.1186681832909622, 6.767537355127884, -0.057721897516734066, 7.070481293876778, -55.03722890553461, -21.325390518998034, -0.17438447480403596, 7.738125, 0.39035487174987793
2.6964009119999996, -77.56429720511598, 0.1270329253658697, 7.2396735814902975, -0.08444729457878619, 7.561210681941851, -54.519272033883574, -22.915535953319637, -0.12948921791275936, 7.75125, 0.40629005432128906
3.158328518, -79.22773169738133, 0.13561922233961798, 7.723288703624685, -0.12382818883282676, 8.063338433178258, -54.779522227496216, -24.513272018288276, 0.06506254840316039, 7.763625, 0.4221985340118408
3.7649857509999998, -79.92727809186728, 0.1445819097495579, 8.226924308936358, -0.16178937456345008, 8.58564188694294, -53.5432626952363, -26.074950513566, -0.3090648830649787, 7.7535, 0.4383354187011719
4.370696796, -80.40901625542344, 0.15391809398155665, 8.750188781887525, -0.20678778617073684, 9.127598562455358, -52.5539038306503, -27.607772708626637, -0.24733971614649963, 7.742625, 0.4542064666748047
