x,y
-126, 296
-126, 296
-126, 296
-126, 296
-112, 293
-112, 293
-112, 293
-110, 293
-126, 295
-123, 294
-112, 292
-126, 293
-128, 294
-110, 291
-112, 291
-126, 292
-126, 291
-126, 291
-126, 291
-110, 289
-112, 289
-112, 289
-112, 289
-126, 290
-126, 290
-139, 292
-123, 290
-110, 289
-112, 289
-112, 289
-112, 289
-112, 289
-112, 289
-110, 289
-110, 290
-110, 290
-126, 292
-123, 293
-110, 291
-123, 294
-112, 292
-126, 294
-123, 293
-110, 292
-126, 294
-123, 293
-110, 292
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-126, 294
-123, 294
-123, 294
-126, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-123, 294
-126, 294
-123, 294
-126, 294
-126, 294
-123, 294
-123, 294
-126, 294
-123, 294
-123, 294
-126, 294
-126, 294
-123, 294
-126, 294
-123, 294
-123, 294
-123, 294
-126, 294
-126, 294
-126, 294
-126, 294
-126, 294
-123, 294
-123, 294
-123, 294
-126, 294
-126, 294
-126, 294
-126, 294
-126, 294
-123, 294
-123, 294
-123, 294
-126, 294
-123, 294
-126, 294
-126, 294
-123, 294
-123, 294
-126, 294
-123, 294
-123, 294
-126, 294
-126, 294
-126, 294
-123, 294
-123, 294
-123, 294
-126, 294
-126, 294
-123, 294
-123, 294
-123, 294
