x,y
-489, 344
-498, 345
-489, 344
-489, 344
-556, 355
-489, 344
-489, 344
-498, 345
-556, 355
-582, 360
-489, 344
-556, 355
-489, 344
-489, 344
-568, 357
-489, 344
-556, 355
-556, 355
-556, 355
-489, 344
-489, 344
-489, 344
-568, 356
-489, 344
-568, 356
-570, 355
-556, 355
-489, 344
-595, 362
-489, 344
-489, 344
-556, 355
-556, 355
-595, 359
-639, 366
-595, 362
-655, 368
-639, 366
